"repeats"	"read_count"	"num_annotations"	"num_bases"	"perc_reads"	"RPM"	"conRPM"	"ncountsRPM"	"nconRPM"
"441"	"1.688.seq441.count:1"	9.68	1	360	1e-05	0.09	0.45	0.09	0.2
"502"	"1.688.seq502.count:1"	9.73	1	256	1e-05	0.09	0.64	0.09	0.140625
"559"	"1.688.seq559.count:1"	9.54	1	359	1e-05	0.09	0.15	0.09	0.6
"682"	"1.688.seq682.count:1"	9.71	1	354	1e-05	0.09	0.67	0.09	0.134328358208955
"715"	"1.688.seq715.count:1"	8.95	1	352	1e-05	0.09	0.07	0.09	1.28571428571429
"762"	"1.688.seq762.count:1"	8.95	1	362	1e-05	0.09	0.66	0.09	0.136363636363636
"771"	"1.688.seq771.count:1"	9.18	1	349	1e-05	0.09	0.28	0.09	0.321428571428571
"779"	"1.688.seq779.count:1"	9.73	1	353	1e-05	0.09	1.46	0.09	0.0616438356164384
"855"	"1.688.seq855.count:1"	9.48	1	358	1e-05	0.09	0.15	0.09	0.6
"864"	"1.688.seq864.count:1"	8.96	1	352	1e-05	0.09	0.26	0.09	0.346153846153846
"968"	"1.688.seq968.count:1"	9.67	1	360	1e-05	0.09	0.53	0.09	0.169811320754717
"976"	"1.688.seq976.count:1"	9.12	1	355	1e-05	0.09	0.44	0.09	0.204545454545455
"1011"	"1.688.seq1011.count:1"	9.32	1	309	1e-05	0.09	0.29	0.09	0.310344827586207
"1014"	"1.688.seq1014.count:1"	9.15	1	359	1e-05	0.09	0.66	0.09	0.136363636363636
"1045"	"1.688.seq1045.count:1"	9.34	1	361	1e-05	0.09	0.27	0.09	0.333333333333333
"1058"	"1.688.seq1058.count:1"	8.93	1	361	1e-05	0.09	0.22	0.09	0.409090909090909
"1176"	"1.688.seq1176.count:1"	9.6	1	356	1e-05	0.09	0.43	0.09	0.209302325581395
"1230"	"1.688.seq1230.count:1"	8.94	1	359	1e-05	0.09	0.22	0.09	0.409090909090909
"1328"	"1.688.seq1328.count:1"	9.28	1	304	1e-05	0.09	0.62	0.09	0.145161290322581
"1338"	"1.688.seq1338.count:1"	9	1	354	1e-05	0.09	0.19	0.09	0.473684210526316
"1348"	"1.688.seq1348.count:1"	9.11	1	351	1e-05	0.09	1.52	0.09	0.0592105263157895
"1383"	"1.688.seq1383.count:1"	9.07	1	356	1e-05	0.09	0.43	0.09	0.209302325581395
